created_at;cpu_porcentagem;ram_porcentage;ram_gb
2025-02-11 20:56:41;0.00;58.90;9.63
2025-02-11 20:56:42;77.50;59.50;9.72
2025-02-11 20:56:43;99.60;59.40;9.70
2025-02-11 20:56:44;99.40;59.50;9.73
2025-02-11 20:56:45;100.00;59.10;9.66
2025-02-11 20:56:46;100.00;59.50;9.71
2025-02-11 20:56:47;100.00;59.50;9.72
2025-02-11 20:56:48;100.00;59.80;9.77
2025-02-11 20:56:49;100.00;60.00;9.80
2025-02-11 20:56:50;100.00;60.00;9.80
2025-02-11 20:56:51;100.00;60.20;9.84
2025-02-11 20:56:52;100.00;60.30;9.84
2025-02-11 20:56:53;100.00;60.60;9.89
2025-02-11 20:56:54;100.00;60.70;9.91
2025-02-11 20:56:55;98.50;60.70;9.91
2025-02-11 20:56:56;91.80;60.60;9.89
2025-02-11 20:56:57;99.30;60.70;9.91
2025-02-11 20:56:58;100.00;60.40;9.87
2025-02-11 20:56:59;98.90;60.40;9.87
2025-02-11 20:57:00;97.50;60.50;9.88
2025-02-11 20:57:01;82.90;60.40;9.86
2025-02-11 20:57:02;92.90;59.90;9.79
2025-02-11 20:57:03;97.40;59.00;9.64
2025-02-11 20:57:04;100.00;57.90;9.47
2025-02-11 20:57:06;100.00;57.80;9.44
2025-02-11 20:57:07;100.00;57.80;9.43
2025-02-11 20:57:08;99.60;57.70;9.42
2025-02-11 20:57:09;100.00;57.30;9.36
2025-02-11 20:57:10;99.60;56.90;9.29
2025-02-11 20:57:11;100.00;55.80;9.12
2025-02-11 20:57:12;99.60;55.50;9.07
2025-02-11 20:57:13;99.30;55.30;9.03
2025-02-11 20:57:14;100.00;55.00;8.99
2025-02-11 20:57:15;99.30;54.80;8.95
2025-02-11 20:57:16;100.00;54.70;8.93
2025-02-11 20:57:17;98.90;54.30;8.88
2025-02-11 20:57:18;100.00;54.10;8.84
2025-02-11 20:57:19;100.00;53.90;8.80
2025-02-11 20:57:20;99.60;53.20;8.68
2025-02-11 20:57:21;92.90;53.10;8.67
2025-02-11 20:57:22;90.20;52.90;8.64
2025-02-11 20:57:23;100.00;52.80;8.62
2025-02-11 20:57:24;98.20;51.80;8.47
2025-02-11 20:57:25;93.20;51.00;8.32
2025-02-11 20:57:26;87.40;50.60;8.27
2025-02-11 20:57:27;98.90;49.80;8.13
2025-02-11 20:57:28;91.00;49.20;8.04
2025-02-11 20:57:29;81.00;49.30;8.06
2025-02-11 20:57:30;82.40;49.20;8.04
2025-02-11 20:57:31;96.40;48.70;7.95
2025-02-11 20:57:32;84.90;48.50;7.92
2025-02-11 20:57:33;89.80;48.50;7.92
2025-02-11 20:57:34;96.70;47.60;7.77
2025-02-11 20:57:35;88.40;47.50;7.76
2025-02-11 20:57:36;86.80;47.40;7.74
2025-02-11 20:57:37;94.90;47.80;7.80
2025-02-11 20:57:38;96.00;47.70;7.79
2025-02-11 20:57:39;89.30;47.70;7.79
2025-02-11 20:57:40;83.30;47.40;7.73
2025-02-11 20:57:41;91.20;47.70;7.80
2025-02-11 20:57:42;100.00;48.00;7.84
2025-02-11 20:57:43;97.20;48.10;7.85
2025-02-11 20:57:44;97.30;48.00;7.84
2025-02-11 20:57:45;90.80;48.00;7.84
2025-02-11 20:57:46;87.10;47.60;7.78
2025-02-11 20:57:47;93.50;47.70;7.78
2025-02-11 20:57:48;81.80;47.70;7.79
2025-02-11 20:57:49;82.80;47.80;7.80
2025-02-11 20:57:50;93.80;48.30;7.84
2025-02-11 20:57:51;99.70;47.60;7.78
2025-02-11 20:57:52;96.60;47.60;7.78
